document_id,source,chunk_id,text
payment_policy,payment_policy.txt,5,"If a customer is charged twice for the same purchase, the duplicate transaction should be reviewed by the billing support team."
payment_policy,payment_policy.txt,6,"If a payment is shown as successful but the related order is missing, the payment and order records should be checked."
payment_policy,payment_policy.txt,7,"The assistant must not claim that a payment was successful, failed, reversed, or refunded unless the status is available in verified records."
payment_policy,payment_policy.txt,8,"The assistant must not invent transaction IDs, payment amounts, payment dates, or processing times."
payment_policy,payment_policy.txt,9,Payment-related issues may require review by the payment or billing support team.
payment_policy,payment_policy.txt,10,"If a payment problem cannot be verified from available information, the issue should be escalated to human customer support."
payment_policy,payment_policy.txt,11,"Customers should not provide unnecessary card numbers, passwords, PINs, or authentication credentials when requesting support."
payment_policy,payment_policy.txt,12,Payment verification and refund processing are separate processes.
payment_policy,payment_policy.txt,13,A successful payment does not automatically mean that an order has been successfully completed.
payment_policy,payment_policy.txt,14,"If the payment status is unclear, customers should wait for verification rather than repeatedly submitting the same payment."
refund_policy,refund_policy.txt,0,Refund Policy
refund_policy,refund_policy.txt,1,Customers may request a refund when an eligible purchase requires cancellation or when a product or service qualifies for a refund.
refund_policy,refund_policy.txt,2,Refund requests must be reviewed against the applicable purchase and refund conditions.
refund_policy,refund_policy.txt,3,Customers should provide the order or transaction information required to identify the purchase.
refund_policy,refund_policy.txt,4,A refund request does not guarantee automatic approval.
refund_policy,refund_policy.txt,5,The support team must verify the transaction and applicable refund conditions before confirming eligibility.
refund_policy,refund_policy.txt,6,"If a customer received a damaged, defective, or incorrect product, the case should be reviewed to determine whether a refund or replacement is applicable."
refund_policy,refund_policy.txt,7,"If a payment was completed but the purchase was not successfully processed, the transaction should be verified before a refund is promised."
refund_policy,refund_policy.txt,8,"If a refund has been approved, processing may require additional time depending on the payment method and applicable processing procedures."
refund_policy,refund_policy.txt,9,The assistant must not guarantee a refund before eligibility has been verified.
refund_policy,refund_policy.txt,10,"The assistant must not invent refund amounts, processing times, or eligibility conditions that are not documented."
refund_policy,refund_policy.txt,11,"If the available information is insufficient to determine refund eligibility, the request should be escalated to human customer support."
refund_policy,refund_policy.txt,12,Customers should retain relevant order or transaction information when requesting a refund.
refund_policy,refund_policy.txt,13,A refund request and refund approval are separate processes. Submitting a request does not mean that the refund has already been approved.
technical_support,technical_support.txt,0,Technical Support Procedure
technical_support,technical_support.txt,1,"Customers experiencing technical problems should first describe the product, the problem observed, and when the problem started."
technical_support,technical_support.txt,2,"Customers should provide relevant error messages, warning indicators, unusual behavior, or other observable symptoms when available."
technical_support,technical_support.txt,3,"If a product does not work after installation, the customer should confirm that the installation was completed correctly and describe what happens when the product is started."
technical_support,technical_support.txt,4,"If the customer has already performed a factory reset and the problem continues, the issue should be escalated for further technical investigation rather than repeatedly recommending the same reset procedure."
technical_support,technical_support.txt,5,"If a product stopped working after a software update, the issue should be reviewed to determine whether the update may be related to the problem."
technical_support,technical_support.txt,6,Support staff should recommend only troubleshooting procedures that are documented for the particular product.
technical_support,technical_support.txt,7,The assistant must not invent product-specific troubleshooting instructions.
technical_support,technical_support.txt,8,"Customers should not be instructed to perform repairs, hardware modifications, electrical work, or other potentially unsafe procedures."
technical_support,technical_support.txt,9,"If the available information does not contain a safe troubleshooting procedure, the customer should be referred to technical support."
technical_support,technical_support.txt,10,"If the same problem continues after documented troubleshooting steps have been completed, the issue should be escalated for further investigation."
technical_support,technical_support.txt,11,"When escalating a technical issue, the available product information, symptoms, error messages, troubleshooting steps already attempted, and relevant order information should be provided to the support team."
technical_support,technical_support.txt,12,"If a product appears to have physical damage, the case should be reviewed before additional troubleshooting is recommended."
technical_support,technical_support.txt,13,"If a customer reports a safety-related problem, the customer should stop using the product and contact appropriate human support."
technical_support,technical_support.txt,14,"Technical support should not guarantee a repair, replacement, refund, or resolution until the case has been reviewed."
technical_support,technical_support.txt,15,The assistant should clearly state when the available information is insufficient to identify the cause of a technical problem.
warranty_policy,warranty_policy.txt,0,Warranty Policy
warranty_policy,warranty_policy.txt,1,Warranty-related requests must be reviewed against the applicable product warranty conditions.
warranty_policy,warranty_policy.txt,2,Customers should provide the product information and purchase details required to verify warranty eligibility.
warranty_policy,warranty_policy.txt,3,A product that stops working or arrives with a defect may require inspection before a replacement or warranty service is approved.
warranty_policy,warranty_policy.txt,4,"Physical damage, unauthorized modification, misuse, or other conditions may affect warranty eligibility depending on the applicable warranty terms."
warranty_policy,warranty_policy.txt,5,"If a product is defective during the applicable warranty period, the case should be reviewed by customer support."
warranty_policy,warranty_policy.txt,6,Warranty eligibility does not automatically guarantee a replacement or repair.
warranty_policy,warranty_policy.txt,7,The assistant must not claim that a product is covered by warranty without verifying the applicable conditions.
warranty_policy,warranty_policy.txt,8,"The assistant must not invent warranty periods, coverage conditions, exclusions, or replacement procedures."
warranty_policy,warranty_policy.txt,9,"If a product has been modified or repaired by an unauthorized party, warranty eligibility should be reviewed before any conclusion is provided."
warranty_policy,warranty_policy.txt,10,"If warranty eligibility cannot be determined from the available information, the request should be escalated to customer support."
warranty_policy,warranty_policy.txt,11,Customers should provide relevant purchase information and product details when requesting warranty assistance.
warranty_policy,warranty_policy.txt,12,Customers should not be asked to perform potentially unsafe repairs or modifications.
warranty_policy,warranty_policy.txt,13,A warranty review and warranty approval are separate processes.
warranty_policy,warranty_policy.txt,14,"Warranty approval does not automatically specify whether the final resolution will be repair, replacement, or another applicable service."
